City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Mount Gambier,AU,-37.8333,140.7667,49.91,100,75,10.36,broken clouds
307,Borba,BR,-4.3878,-59.5939,95.47,31,97,4.03,overcast clouds
308,Satipo,PE,-11.2522,-74.6386,90.86,31,1,1.14,clear sky
309,Los Andes,CL,-32.8337,-70.5983,61.02,43,12,6.26,few clouds
310,Biltine,TD,14.5333,20.9167,78.4,74,100,3.38,overcast clouds
311,Mandera,KE,3.9366,41.867,80.24,40,100,25.1,overcast clouds
312,Lahij,YE,13.1667,44.5833,81.3,68,63,1.59,broken clouds
313,Vila Velha,BR,-20.3297,-40.2925,73.35,64,40,9.22,scattered clouds
314,Dalvik,IS,65.9702,-18.5286,60.73,74,100,10.33,overcast clouds
315,Santiago Del Estero,AR,-27.7951,-64.2615,68.81,25,12,9.28,few clouds
316,Stornoway,GB,58.2093,-6.3865,57.92,94,90,10.36,overcast clouds
317,Sorland,NO,67.667,12.6934,54.37,84,98,6.38,overcast clouds
318,Ambon,ID,-3.6954,128.1814,77.14,94,40,0.0,scattered clouds
319,Muros,ES,42.7762,-9.0603,69.1,73,7,10.18,clear sky
320,Lasa,IT,46.6166,10.7002,62.02,89,67,2.28,broken clouds
321,Setubal,PT,38.5244,-8.8882,72.5,82,17,10.33,few clouds
322,Ocos,GT,14.5094,-92.1933,93.7,71,35,7.43,scattered clouds
323,Arman,RU,59.7,150.1667,53.47,99,100,5.7,light rain
324,Alyangula,AU,-13.8483,136.4192,69.69,73,89,10.83,overcast clouds
325,Tawang,IN,27.5833,91.8667,59.2,96,100,1.36,overcast clouds
326,Faanui,PF,-16.4833,-151.75,78.01,66,0,12.86,clear sky
327,Hope,US,33.6671,-93.5916,93.25,43,6,4.34,clear sky
328,Buraydah,SA,26.326,43.975,100.85,13,3,10.71,clear sky
329,Belize,BZ,17.25,-88.75,93.52,34,11,5.28,few clouds
330,Marawi,PH,7.9986,124.2928,70.65,89,94,5.41,overcast clouds
331,Trinidad,BO,-14.8333,-64.9,93.18,46,20,12.66,few clouds
332,Guerrero Negro,MX,27.9769,-114.0611,78.66,56,85,11.68,overcast clouds
333,Yerbogachen,RU,61.2767,108.0108,61.38,66,78,1.36,broken clouds
334,Imbituba,BR,-28.24,-48.6703,67.89,72,100,11.25,overcast clouds
335,Metro,ID,-5.1131,105.3067,70.41,90,0,3.71,clear sky
336,Nabire,ID,-3.3667,135.4833,75.88,87,100,3.51,overcast clouds
337,Mahibadhoo,MV,3.7833,72.9667,82.02,79,100,19.04,heavy intensity rain
338,Agropoli,IT,40.3469,14.9966,83.44,60,99,3.2,overcast clouds
339,Porto Velho,BR,-8.7619,-63.9039,95.05,34,0,6.91,clear sky
340,Jalor,IN,25.35,72.6167,82.76,81,100,13.56,moderate rain
341,Billings,US,45.7833,-108.5007,96.51,17,20,5.75,haze
342,Bac Lieu,VN,9.285,105.7244,78.64,86,98,7.34,overcast clouds
343,Chumikan,RU,54.7183,135.315,63.05,89,10,12.71,clear sky
344,Rafai,CF,4.95,23.9167,70.16,95,98,0.98,light rain
345,Balikpapan,ID,-1.2675,116.8289,75.24,83,35,6.91,scattered clouds
346,Merauke,ID,-8.4667,140.3333,76.66,79,100,8.55,overcast clouds
